"source","source_label","budget","method","label","nominal","empirical","method_label"
"dipole","Dipole",16,"uniform","Uniform",0.9,0.928019036287924,"Uniform"
"dipole","Dipole",16,"uniform","Uniform",0.95,0.944080904223676,"Uniform"
"dipole","Dipole",16,"uniform","Uniform",0.975,0.950624628197501,"Uniform"
"dipole","Dipole",16,"uniform","Uniform",0.99,0.955978584176086,"Uniform"
"dipole","Dipole",16,"random","Random",0.5,0.759071980963712,"Random"
"dipole","Dipole",16,"random","Random",0.6,0.808447352766211,"Random"
"dipole","Dipole",16,"random","Random",0.7,0.847709696609161,"Random"
"dipole","Dipole",16,"random","Random",0.8,0.885782272456871,"Random"
"dipole","Dipole",16,"random","Random",0.9,0.926234384295062,"Random"
"dipole","Dipole",16,"random","Random",0.95,0.941106484235574,"Random"
"dipole","Dipole",16,"random","Random",0.975,0.953004164187983,"Random"
"dipole","Dipole",16,"random","Random",0.99,0.96133254015467,"Random"
"dipole","Dipole",16,"max_source_variance","Max source variance",0.5,0.792385484830458,"Maximum variance"
"dipole","Dipole",16,"max_source_variance","Max source variance",0.6,0.831647828673409,"Maximum variance"
"dipole","Dipole",16,"max_source_variance","Max source variance",0.7,0.863176680547293,"Maximum variance"
"dipole","Dipole",16,"max_source_variance","Max source variance",0.8,0.889946460440214,"Maximum variance"
"dipole","Dipole",16,"max_source_variance","Max source variance",0.9,0.914336704342653,"Maximum variance"
"dipole","Dipole",16,"max_source_variance","Max source variance",0.95,0.917906008328376,"Maximum variance"
"dipole","Dipole",16,"max_source_variance","Max source variance",0.975,0.92266508030934,"Maximum variance"
"dipole","Dipole",16,"max_source_variance","Max source variance",0.99,0.929803688280785,"Maximum variance"
"dipole","Dipole",16,"variance_times_gradient","Variance x |gradient mean|",0.5,0.826293872694824,"Variance x gradient"
"dipole","Dipole",16,"variance_times_gradient","Variance x |gradient mean|",0.6,0.847709696609161,"Variance x gradient"
"dipole","Dipole",16,"variance_times_gradient","Variance x |gradient mean|",0.7,0.870910172516359,"Variance x gradient"
"dipole","Dipole",16,"variance_times_gradient","Variance x |gradient mean|",0.8,0.889351576442594,"Variance x gradient"
"dipole","Dipole",16,"variance_times_gradient","Variance x |gradient mean|",0.9,0.907792980368828,"Variance x gradient"
"dipole","Dipole",16,"variance_times_gradient","Variance x |gradient mean|",0.95,0.914931588340274,"Variance x gradient"
"dipole","Dipole",16,"variance_times_gradient","Variance x |gradient mean|",0.975,0.92266508030934,"Variance x gradient"
"dipole","Dipole",16,"variance_times_gradient","Variance x |gradient mean|",0.99,0.928613920285544,"Variance x gradient"
"ring","Ring",16,"uniform","Uniform",0.5,0.742415229030339,"Uniform"
"ring","Ring",16,"uniform","Uniform",0.6,0.788816180844735,"Uniform"
"ring","Ring",16,"uniform","Uniform",0.7,0.801308744794765,"Uniform"
"ring","Ring",16,"uniform","Uniform",0.8,0.809042236763831,"Uniform"
"ring","Ring",16,"uniform","Uniform",0.9,0.829268292682927,"Uniform"
"ring","Ring",16,"uniform","Uniform",0.95,0.841760856632957,"Uniform"
"ring","Ring",16,"uniform","Uniform",0.975,0.853658536585366,"Uniform"
"ring","Ring",16,"uniform","Uniform",0.99,0.88399762046401,"Uniform"
"ring","Ring",16,"random","Random",0.5,0.625223081499108,"Random"
"ring","Ring",16,"random","Random",0.6,0.700773349196907,"Random"
"ring","Ring",16,"random","Random",0.7,0.762641284949435,"Random"
"ring","Ring",16,"random","Random",0.8,0.823319452706722,"Random"
"ring","Ring",16,"random","Random",0.9,0.885782272456871,"Random"
"ring","Ring",16,"random","Random",0.95,0.91017251635931,"Random"
"ring","Ring",16,"random","Random",0.975,0.925044616299821,"Random"
"ring","Ring",16,"random","Random",0.99,0.940511600237954,"Random"
"ring","Ring",16,"max_source_variance","Max source variance",0.5,0.58953004164188,"Maximum variance"
"ring","Ring",16,"max_source_variance","Max source variance",0.6,0.665080309339679,"Maximum variance"
"ring","Ring",16,"max_source_variance","Max source variance",0.7,0.732897085068412,"Maximum variance"
"ring","Ring",16,"max_source_variance","Max source variance",0.8,0.801903628792386,"Maximum variance"
"ring","Ring",16,"max_source_variance","Max source variance",0.9,0.876264128494944,"Maximum variance"
"ring","Ring",16,"max_source_variance","Max source variance",0.95,0.906603212373587,"Maximum variance"
"ring","Ring",16,"max_source_variance","Max source variance",0.975,0.916121356335515,"Maximum variance"
"ring","Ring",16,"max_source_variance","Max source variance",0.99,0.929208804283165,"Maximum variance"
"ring","Ring",16,"variance_times_gradient","Variance x |gradient mean|",0.5,0.66686496133254,"Variance x gradient"
"ring","Ring",16,"variance_times_gradient","Variance x |gradient mean|",0.6,0.731707317073171,"Variance x gradient"
"ring","Ring",16,"variance_times_gradient","Variance x |gradient mean|",0.7,0.794170136823319,"Variance x gradient"
"ring","Ring",16,"variance_times_gradient","Variance x |gradient mean|",0.8,0.854253420582986,"Variance x gradient"
"ring","Ring",16,"variance_times_gradient","Variance x |gradient mean|",0.9,0.893515764425937,"Variance x gradient"
"ring","Ring",16,"variance_times_gradient","Variance x |gradient mean|",0.95,0.900059488399762,"Variance x gradient"
"ring","Ring",16,"variance_times_gradient","Variance x |gradient mean|",0.975,0.906603212373587,"Variance x gradient"
"ring","Ring",16,"variance_times_gradient","Variance x |gradient mean|",0.99,0.917906008328376,"Variance x gradient"
"edge","Moving edge",16,"uniform","Uniform",0.5,0.868530636525877,"Uniform"
"edge","Moving edge",16,"uniform","Uniform",0.6,0.912552052349792,"Uniform"
"edge","Moving edge",16,"uniform","Uniform",0.7,0.953004164187983,"Uniform"
"edge","Moving edge",16,"uniform","Uniform",0.8,0.984533016061868,"Uniform"
"edge","Moving edge",16,"uniform","Uniform",0.9,0.997620464009518,"Uniform"
"edge","Moving edge",16,"uniform","Uniform",0.95,1,"Uniform"
"edge","Moving edge",16,"uniform","Uniform",0.975,1,"Uniform"
"edge","Moving edge",16,"uniform","Uniform",0.99,1,"Uniform"
"edge","Moving edge",16,"random","Random",0.5,0.809042236763831,"Random"
"edge","Moving edge",16,"random","Random",0.6,0.893515764425937,"Random"
"edge","Moving edge",16,"random","Random",0.7,0.93575252825699,"Random"
"edge","Moving edge",16,"random","Random",0.8,0.971445568114218,"Random"
"edge","Moving edge",16,"random","Random",0.9,0.997025580011898,"Random"
"edge","Moving edge",16,"random","Random",0.95,1,"Random"
"edge","Moving edge",16,"random","Random",0.975,1,"Random"
"edge","Moving edge",16,"random","Random",0.99,1,"Random"
"edge","Moving edge",16,"max_source_variance","Max source variance",0.5,0.848899464604402,"Maximum variance"
"edge","Moving edge",16,"max_source_variance","Max source variance",0.6,0.891136228435455,"Maximum variance"
"edge","Moving edge",16,"max_source_variance","Max source variance",0.7,0.929208804283165,"Maximum variance"
"edge","Moving edge",16,"max_source_variance","Max source variance",0.8,0.965496728138013,"Maximum variance"
"edge","Moving edge",16,"max_source_variance","Max source variance",0.9,0.994051160023795,"Maximum variance"
"edge","Moving edge",16,"max_source_variance","Max source variance",0.95,1,"Maximum variance"
"edge","Moving edge",16,"max_source_variance","Max source variance",0.975,1,"Maximum variance"
"edge","Moving edge",16,"max_source_variance","Max source variance",0.99,1,"Maximum variance"
"edge","Moving edge",16,"variance_times_gradient","Variance x |gradient mean|",0.5,0.860797144556811,"Variance x gradient"
"edge","Moving edge",16,"variance_times_gradient","Variance x |gradient mean|",0.6,0.89767995240928,"Variance x gradient"
"edge","Moving edge",16,"variance_times_gradient","Variance x |gradient mean|",0.7,0.933967876264128,"Variance x gradient"
"edge","Moving edge",16,"variance_times_gradient","Variance x |gradient mean|",0.8,0.969660916121356,"Variance x gradient"
"edge","Moving edge",16,"variance_times_gradient","Variance x |gradient mean|",0.9,0.988102320047591,"Variance x gradient"
"edge","Moving edge",16,"variance_times_gradient","Variance x |gradient mean|",0.95,0.997620464009518,"Variance x gradient"
"edge","Moving edge",16,"variance_times_gradient","Variance x |gradient mean|",0.975,0.998810232004759,"Variance x gradient"
"edge","Moving edge",16,"variance_times_gradient","Variance x |gradient mean|",0.99,1,"Variance x gradient"
"sine","Sine-cosine",16,"uniform","Uniform",0.5,0.630577037477692,"Uniform"
"sine","Sine-cosine",16,"uniform","Uniform",0.6,0.695419393218322,"Uniform"
"sine","Sine-cosine",16,"uniform","Uniform",0.7,0.755502676977989,"Uniform"
"sine","Sine-cosine",16,"uniform","Uniform",0.8,0.812611540749554,"Uniform"
"sine","Sine-cosine",16,"uniform","Uniform",0.9,0.867340868530637,"Uniform"
"sine","Sine-cosine",16,"uniform","Uniform",0.95,0.892920880428317,"Uniform"
"sine","Sine-cosine",16,"uniform","Uniform",0.975,0.908387864366449,"Uniform"
"sine","Sine-cosine",16,"uniform","Uniform",0.99,0.929803688280785,"Uniform"
"sine","Sine-cosine",16,"random","Random",0.5,0.476502082093992,"Random"
"sine","Sine-cosine",16,"random","Random",0.6,0.533610945865556,"Random"
"sine","Sine-cosine",16,"random","Random",0.7,0.598453301606187,"Random"
"sine","Sine-cosine",16,"random","Random",0.8,0.667459845330161,"Random"
"sine","Sine-cosine",16,"random","Random",0.9,0.737061273051755,"Random"
"sine","Sine-cosine",16,"random","Random",0.95,0.789411064842356,"Random"
"sine","Sine-cosine",16,"random","Random",0.975,0.823319452706722,"Random"
"sine","Sine-cosine",16,"random","Random",0.99,0.852468768590125,"Random"
"sine","Sine-cosine",16,"max_source_variance","Max source variance",0.5,0.505056513979774,"Maximum variance"
"sine","Sine-cosine",16,"max_source_variance","Max source variance",0.6,0.596668649613325,"Maximum variance"
"sine","Sine-cosine",16,"max_source_variance","Max source variance",0.7,0.676977989292088,"Maximum variance"
"sine","Sine-cosine",16,"max_source_variance","Max source variance",0.8,0.763236168947055,"Maximum variance"
"sine","Sine-cosine",16,"max_source_variance","Max source variance",0.9,0.847709696609161,"Maximum variance"
"sine","Sine-cosine",16,"max_source_variance","Max source variance",0.95,0.873884592504462,"Maximum variance"
"sine","Sine-cosine",16,"max_source_variance","Max source variance",0.975,0.890541344437835,"Maximum variance"
"sine","Sine-cosine",16,"max_source_variance","Max source variance",0.99,0.912552052349792,"Maximum variance"
"sine","Sine-cosine",16,"variance_times_gradient","Variance x |gradient mean|",0.5,0.23022010707912,"Variance x gradient"
"sine","Sine-cosine",16,"variance_times_gradient","Variance x |gradient mean|",0.6,0.270077334919691,"Variance x gradient"
"sine","Sine-cosine",16,"variance_times_gradient","Variance x |gradient mean|",0.7,0.325996430696014,"Variance x gradient"
"sine","Sine-cosine",16,"variance_times_gradient","Variance x |gradient mean|",0.8,0.365853658536585,"Variance x gradient"
"sine","Sine-cosine",16,"variance_times_gradient","Variance x |gradient mean|",0.9,0.425342058298632,"Variance x gradient"
"sine","Sine-cosine",16,"variance_times_gradient","Variance x |gradient mean|",0.95,0.48720999405116,"Variance x gradient"
"sine","Sine-cosine",16,"variance_times_gradient","Variance x |gradient mean|",0.975,0.528851873884593,"Variance x gradient"
"sine","Sine-cosine",16,"variance_times_gradient","Variance x |gradient mean|",0.99,0.580011897679952,"Variance x gradient"
